age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
2.308658562600000005e+05,4.112783772905387991e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926050220843053828e-01,4.996951527780922220e+00
2.328658562600000005e+05,4.111508389771001859e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926088022378762421e-01,4.993908808806541089e+00
2.348658562600000005e+05,4.110216855874424979e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926127035719947811e-01,4.990824571337967974e+00
2.368658562600000005e+05,4.108908974608710629e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926167362794173887e-01,4.987722168112527221e+00
2.388658562600000005e+05,4.107584459897165807e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926209105529003429e-01,4.984513307209676114e+00
2.408658562600000005e+05,4.106243322612062485e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926249124555482195e-01,4.981254433849009899e+00
2.428658562600000005e+05,4.104885286869463634e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926290740447121896e-01,4.977970033296336361e+00
2.448658562600000005e+05,4.103509736800379670e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926334032480916669e-01,4.974652857369362025e+00
2.468658562600000005e+05,4.102116309316178544e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926375838637341409e-01,4.971307889193411711e+00
2.488658562600000005e+05,4.100704574509048683e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926422120546331385e-01,4.967914154340980382e+00
2.508658562600000005e+05,4.099274097941062678e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926467052481369291e-01,4.964466216675347709e+00
2.528658562600000005e+05,4.097824178803596951e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926510691068880066e-01,4.960985730141111993e+00
2.548658562600000005e+05,4.096355565924482356e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926555733991709429e-01,4.957409341094926702e+00
2.568658562600000005e+05,4.094866870597295261e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926602215225712289e-01,4.953765385399441001e+00
2.588658562600000005e+05,4.093357898706651454e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926647505039751351e-01,4.950076876033431716e+00
2.608658562600000005e+05,4.091827828263379985e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926697519762621547e-01,4.946464744388320511e+00
2.628658562599999714e+05,4.090276925411673759e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926746388366666896e-01,4.942702983080023316e+00
2.648658562599999714e+05,4.088703279122968937e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926794122177172275e-01,4.938875693673695721e+00
2.668658562599999714e+05,4.087107254297944969e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926840709868852808e-01,4.935029241885432683e+00
2.688658562599999714e+05,4.085488610614055993e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926892022469364751e-01,4.931045301139322490e+00
2.708658562599999714e+05,4.083846835715417178e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926942143649912342e-01,4.927041744999885786e+00
2.728658562599999714e+05,4.082181418378671545e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.926994280731160192e-01,4.923007701193684582e+00
2.748658562599999714e+05,4.080491531178508602e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.927045736030260636e-01,4.918965616435252208e+00
2.768658562599999714e+05,4.078776891888830747e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.927096452920790681e-01,4.914832521687920064e+00
2.788658562599999714e+05,4.077036209653671861e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.927152257129266522e-01,4.910638225101360277e+00
